originalCurrency,originalAmount,USDAmount,date,mcc,accountAmount,accountCurrency,merchantName,merchantCountry,status,declineReason,authCode,type,externalTxId,externalRootTxId,apiTransaction,last4
IDR,177000.0000,10.8000,2025-12-13T15:29:06.619Z,5499,-10.8000,USD,CK TUNJUNG MASUKA UNGA,ID,DECLINED,Insufficient funds,G0M2R4,POS_TX,313b07bf-3739-483d-9268-da3117ec342e,313b07bf-3739-483d-9268-da3117ec342e,"{""id"":""f936e3b5-ad68-3fef-a03e-9db682d10a04"",""data"":{""status"":""FAILED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG"",""name"":""CK TUNJUNG MASUKA UNGA"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""005004194354   "",""category_code"":""5499""},""auth_code"":""G0M2R4"",""client_data"":null,""posted_date"":""2025-12-13T15:29:06.619Z"",""lifecycle_id"":""03e0199b-87da-462d-9294-efe0f8ed01cb"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534715839366"",""billing_amount"":-10.8,""failure_reason"":""INSUFFICIENT_FUNDS"",""transaction_id"":""313b07bf-3739-483d-9268-da3117ec342e"",""billing_currency"":""USD"",""transaction_date"":""2025-12-13T15:29:06.619Z"",""transaction_type"":""AUTHORIZATION"",""masked_card_number"":""************4553"",""transaction_amount"":-177000,""transaction_currency"":""IDR"",""network_transaction_id"":""585347557460902"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""455632""},""name"":""issuing.transaction.failed"",""version"":""2022-11-11"",""source_id"":""313b07bf-3739-483d-9268-da3117ec342e"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-13T15:29:06+0000""}",4553
IDR,116000.0000,7.0700,2025-12-12T07:46:02.974Z,5812,-7.0700,USD,NECTAR BALI HO,ID,APPROVED,,HFDHZM,POS_TX,2ce62607-ad54-466d-a054-6122a4552143,2ce62607-ad54-466d-a054-6122a4552143,"{""id"":""0c6d7d2e-c991-3347-bd54-380e9482983c"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG"",""name"":""NECTAR BALI HO"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""005001606125   "",""category_code"":""5812""},""auth_code"":""HFDHZM"",""client_data"":null,""posted_date"":""2025-12-12T22:34:54.153Z"",""lifecycle_id"":""1d361930-6fd2-49cd-90ef-d84617d21a49"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534675005899"",""billing_amount"":-7.07,""failure_reason"":null,""transaction_id"":""2ce62607-ad54-466d-a054-6122a4552143"",""billing_currency"":""USD"",""transaction_date"":""2025-12-12T07:46:02.974Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-116000,""transaction_currency"":""IDR"",""matched_authorizations"":[""dbdf376d-0d80-408f-a67f-69cb13dc4c19""],""network_transaction_id"":""345346279625341"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""455632""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""2ce62607-ad54-466d-a054-6122a4552143"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-12T22:34:54+0000""}",4553
IDR,196650.0000,11.9700,2025-12-11T07:09:28.982Z,5812,-11.9700,USD,WINTER CAFE HO,ID,APPROVED,,RVZUCR,POS_TX,9db43be7-3557-4e5a-9032-2dc8da5559d8,9db43be7-3557-4e5a-9032-2dc8da5559d8,"{""id"":""d85d56ec-8857-3244-b58b-960bd731c8af"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG"",""name"":""WINTER CAFE HO"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""005002230061   "",""category_code"":""5812""},""auth_code"":""RVZUCR"",""client_data"":null,""posted_date"":""2025-12-11T22:38:54.350Z"",""lifecycle_id"":""257f2cdd-154d-4e04-96bb-42180a061f47"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534572005672"",""billing_amount"":-11.97,""failure_reason"":null,""transaction_id"":""9db43be7-3557-4e5a-9032-2dc8da5559d8"",""billing_currency"":""USD"",""transaction_date"":""2025-12-11T07:09:28.982Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-196650,""transaction_currency"":""IDR"",""matched_authorizations"":[""04ce8773-2f06-4229-a382-1f83977603df""],""network_transaction_id"":""305345257687700"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""455632""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""9db43be7-3557-4e5a-9032-2dc8da5559d8"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-11T22:38:54+0000""}",4553
IDR,230000.0000,14.0200,2025-12-09T04:21:11.866Z,7298,-14.0200,USD,U. ULUWATU,ID,APPROVED,,75HUWE,POS_TX,9871e35f-9b4e-4995-b451-d39e186886ed,9871e35f-9b4e-4995-b451-d39e186886ed,"{""id"":""0bb9aa11-0f5f-30ab-80e9-9e3da62d8334"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""Badung (Kab)"",""name"":""U. ULUWATU"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""71143663982    "",""category_code"":""7298""},""auth_code"":""75HUWE"",""client_data"":null,""posted_date"":""2025-12-10T01:02:54.345Z"",""lifecycle_id"":""926188fd-bad4-4b41-9455-e4a701e9057e"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534373008950"",""billing_amount"":-14.02,""failure_reason"":null,""transaction_id"":""9871e35f-9b4e-4995-b451-d39e186886ed"",""billing_currency"":""USD"",""transaction_date"":""2025-12-09T04:21:11.866Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-230000,""transaction_currency"":""IDR"",""matched_authorizations"":[""9a0d47a1-560f-4bdf-8871-d0e75bf67bfe""],""network_transaction_id"":""355343156719841"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""423978""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""9871e35f-9b4e-4995-b451-d39e186886ed"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-10T01:02:54+0000""}",4553
IDR,374400.0000,22.8100,2025-12-09T03:07:14.849Z,5814,-22.8100,USD,ANALOG ULUWATU MBL,ID,APPROVED,,OM8XVF,POS_TX,051d5a68-d83b-4f30-8c5f-72359036af2e,051d5a68-d83b-4f30-8c5f-72359036af2e,"{""id"":""d4cf95ca-6d1b-3972-9326-4ba1845fcaff"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG - BALI"",""name"":""ANALOG ULUWATU MBL"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""100208011818   "",""category_code"":""5814""},""auth_code"":""OM8XVF"",""client_data"":null,""posted_date"":""2025-12-09T17:22:54.358Z"",""lifecycle_id"":""602eb609-4eb1-4c70-a9d1-695862d514c6"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534374208563"",""billing_amount"":-22.81,""failure_reason"":null,""transaction_id"":""051d5a68-d83b-4f30-8c5f-72359036af2e"",""billing_currency"":""USD"",""transaction_date"":""2025-12-09T03:07:14.849Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-374400,""transaction_currency"":""IDR"",""matched_authorizations"":[""e83d5972-c61e-4105-98ee-2ec7c3aec91f""],""network_transaction_id"":""345343112341745"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""410504""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""051d5a68-d83b-4f30-8c5f-72359036af2e"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-09T17:22:54+0000""}",4553
IDR,259000.0000,15.7800,2025-12-09T01:31:54.676Z,5812,-15.7800,USD,THE CHAI ULUWATU,ID,APPROVED,,L8PDTG,POS_TX,daca1473-4941-45d3-8cc7-8cc89bd212f0,daca1473-4941-45d3-8cc7-8cc89bd212f0,"{""id"":""5d45d25b-3568-31c3-9c46-7032edaa9617"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""Badung (Kab)"",""name"":""THE CHAI ULUWATU"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""71596350240    "",""category_code"":""5812""},""auth_code"":""L8PDTG"",""client_data"":null,""posted_date"":""2025-12-10T01:02:54.345Z"",""lifecycle_id"":""59ab4141-2359-4b70-9699-6e4c4ebc01bc"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""534373008951"",""billing_amount"":-15.78,""failure_reason"":null,""transaction_id"":""daca1473-4941-45d3-8cc7-8cc89bd212f0"",""billing_currency"":""USD"",""transaction_date"":""2025-12-09T01:31:54.676Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-259000,""transaction_currency"":""IDR"",""matched_authorizations"":[""5ecfed0d-44af-4b26-84f8-124e6012fadd""],""network_transaction_id"":""465343055144151"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""423978""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""daca1473-4941-45d3-8cc7-8cc89bd212f0"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-10T01:02:54+0000""}",4553
IDR,121500.0000,7.4200,2025-12-05T11:37:51.877Z,5814,-7.4200,USD,MADE'S BAKERY UNGASAN M,ID,APPROVED,,S6172Z,POS_TX,330ba284-8532-4069-a51a-bd8d77293dcb,330ba284-8532-4069-a51a-bd8d77293dcb,"{""id"":""40a838d2-7ce2-3903-b16c-c5d407f7a8fb"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG - BALI"",""name"":""MADE'S BAKERY UNGASAN M"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""100208013459   "",""category_code"":""5814""},""auth_code"":""S6172Z"",""client_data"":null,""posted_date"":""2025-12-05T17:22:23.136Z"",""lifecycle_id"":""d3a399fc-4210-4d47-b9eb-8712e902bfca"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""533976208578"",""billing_amount"":-7.42,""failure_reason"":null,""transaction_id"":""330ba284-8532-4069-a51a-bd8d77293dcb"",""billing_currency"":""USD"",""transaction_date"":""2025-12-05T11:37:51.877Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-121500,""transaction_currency"":""IDR"",""matched_authorizations"":[""79907863-1f9d-4f89-8ce9-0a907c1bee75""],""network_transaction_id"":""355339418713899"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""410504""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""330ba284-8532-4069-a51a-bd8d77293dcb"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-05T17:22:23+0000""}",4553
IDR,97750.0000,5.9700,2025-12-05T05:18:06.122Z,5812,-5.9700,USD,WINTER CAFE HO,ID,APPROVED,,B2HLYJ,POS_TX,c26261f4-cfb6-4948-81ab-8350f1fa0ee4,c26261f4-cfb6-4948-81ab-8350f1fa0ee4,"{""id"":""c171fd14-1de0-3f1a-8336-5e3e7799def7"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG"",""name"":""WINTER CAFE HO"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""005002230061   "",""category_code"":""5812""},""auth_code"":""B2HLYJ"",""client_data"":null,""posted_date"":""2025-12-05T22:14:23.342Z"",""lifecycle_id"":""d165d288-87f2-4292-b8f6-6314070be6c3"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""533975005692"",""billing_amount"":-5.97,""failure_reason"":null,""transaction_id"":""c26261f4-cfb6-4948-81ab-8350f1fa0ee4"",""billing_currency"":""USD"",""transaction_date"":""2025-12-05T05:18:06.122Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-97750,""transaction_currency"":""IDR"",""matched_authorizations"":[""98ff4f9a-8518-45ed-9574-5097f98d0097""],""network_transaction_id"":""345339190859531"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""455632""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""c26261f4-cfb6-4948-81ab-8350f1fa0ee4"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-05T22:14:23+0000""}",4553
IDR,415996.0000,25.4100,2025-12-04T05:46:17.673Z,5499,-25.4100,USD,PEPITO MARKET UNGASAN,ID,APPROVED,,4QAM2R,POS_TX,f7156ac8-02be-44e4-8b04-0262943c8a6f,f7156ac8-02be-44e4-8b04-0262943c8a6f,"{""id"":""1d4b4a38-7530-3a76-a0b1-ae561fb9845b"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""BADUNG"",""name"":""PEPITO MARKET UNGASAN"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""005002936236   "",""category_code"":""5499""},""auth_code"":""4QAM2R"",""client_data"":null,""posted_date"":""2025-12-04T22:14:23.197Z"",""lifecycle_id"":""5ffa0b54-a557-47d0-9851-2b1f04b68345"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""533874005922"",""billing_amount"":-25.41,""failure_reason"":null,""transaction_id"":""f7156ac8-02be-44e4-8b04-0262943c8a6f"",""billing_currency"":""USD"",""transaction_date"":""2025-12-04T05:46:17.673Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-415996,""transaction_currency"":""IDR"",""matched_authorizations"":[""3fa88cc8-382a-4c0b-a54e-44b35fe2c25b""],""network_transaction_id"":""385338207775195"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""455632""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""f7156ac8-02be-44e4-8b04-0262943c8a6f"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-04T22:14:23+0000""}",4553
IDR,161275.0000,9.8500,2025-12-04T04:56:17.691Z,5812,-9.8500,USD,ARTISAN BINGIN,ID,APPROVED,,Y9S04Z,POS_TX,8dad4a40-d1cc-4e47-aedc-bc5941b91338,8dad4a40-d1cc-4e47-aedc-bc5941b91338,"{""id"":""5d7df4c7-cc97-369a-9844-42a1ba7a83b4"",""data"":{""status"":""APPROVED"",""card_id"":""06d1cfb4-a3b7-413a-99b8-8f4d774525ef"",""merchant"":{""city"":""Badung"",""name"":""ARTISAN BINGIN"",""state"":null,""country"":""IDN"",""postcode"":null,""identifier"":""000800510016082"",""category_code"":""5812""},""auth_code"":""Y9S04Z"",""client_data"":null,""posted_date"":""2025-12-05T02:34:23.349Z"",""lifecycle_id"":""530b1f21-29b9-48b8-875b-501259535670"",""risk_details"":{""risk_factors"":[],""risk_actions_performed"":[],""three_d_secure_outcome"":""NOT_APPLICABLE""},""card_nickname"":"""",""retrieval_ref"":""533870008020"",""billing_amount"":-9.85,""failure_reason"":null,""transaction_id"":""8dad4a40-d1cc-4e47-aedc-bc5941b91338"",""billing_currency"":""USD"",""transaction_date"":""2025-12-04T04:56:17.691Z"",""transaction_type"":""CLEARING"",""masked_card_number"":""************4553"",""transaction_amount"":-161275,""transaction_currency"":""IDR"",""matched_authorizations"":[""2b8de831-b0f7-47b4-8fb0-5e5cae43a9e0""],""network_transaction_id"":""345338177770600"",""digital_wallet_token_id"":""e6793038-503a-4839-b1a8-718cf2310efd"",""acquiring_institution_identifier"":""470596""},""name"":""issuing.transaction.succeeded"",""version"":""2022-11-11"",""source_id"":""8dad4a40-d1cc-4e47-aedc-bc5941b91338"",""account_id"":""acct_842SAxN3PSC_XLMs3G9fmA"",""created_at"":""2025-12-05T02:34:23+0000""}",4553
